Risk ID,Asset,Asset Type,Risk Statement,Threat,Vulnerability,Existing Controls,CIA Impact,Likelihood,Impact,Inherent Risk Score,Inherent Risk Level,Treatment,Additional Controls,Residual Likelihood,Residual Impact,Residual Risk Score,Residual Risk Level,Owner,Status
R-001,Proxmox Virtualisation Host,Infrastructure,"Unpatched vulnerabilities on the Proxmox host could be exploited by an attacker, resulting in unauthorised access to virtual machines and disruption of multiple services.",Exploitation of known vulnerability,Delayed security patching,Administrative access restricted to LAN; firewall rules; strong administrator credentials,High – Integrity / Availability,3,5,15,Critical,Mitigate,Formal patch-management schedule; restrict management access; maintain configuration backups,2,5,10,High,Infrastructure Manager,Open
R-002,OPNsense Firewall,Network Security,"Misconfigured firewall rules could permit unauthorised network traffic, allowing an attacker to access systems that should be isolated.",Unauthorised network access,Firewall misconfiguration,OPNsense firewall; network segmentation; default-deny approach where appropriate,High – Confidentiality / Integrity,3,5,15,Critical,Mitigate,Periodic firewall-rule review; documented rule purpose; remove unused rules,2,5,10,High,Network Manager,Open
R-003,Windows 11 Workstation,Endpoint,Malware infection on the Windows 11 workstation could compromise credentials or data and provide a foothold for further attacks.,Malware / phishing,Endpoint compromise,Windows security features; firewall; restricted network environment,High – Confidentiality / Integrity,3,4,12,High,Mitigate,Keep OS and applications patched; endpoint protection; least privilege; user awareness,2,4,8,Medium,Endpoint Manager,Open
R-004,Ubuntu File Server,Server,"Unauthorised access to the Ubuntu file server could expose, alter or delete stored information.",Unauthorised access,Inadequate file permissions or authentication,Linux permissions; firewall; restricted network access,High – Confidentiality / Integrity / Availability,3,4,12,High,Mitigate,Least-privilege permissions; separate user accounts; SSH hardening; regular backup and restore testing,2,4,8,Medium,System Owner,Open
R-005,Network Configuration Data,Information,Loss or unauthorised modification of firewall and network configuration backups could prevent timely recovery following a system failure.,Data loss / system failure,Insufficient configuration backup,Manual configuration records,High – Availability / Integrity,3,4,12,High,Mitigate,Automated or scheduled encrypted backups; offline copy; periodic restoration test,2,4,8,Medium,Network Manager,Open
R-006,Kali Linux Security Testing VM,Virtual Machine,A compromised or misconfigured security-testing VM could be used to attack other systems or bypass intended network boundaries.,Compromised testing environment,High-risk security tools and broad network access,Isolated lab environment; VLAN segmentation,Medium – Integrity / Availability,2,4,8,Medium,Mitigate,Restrict network routes; shut down when not required; snapshot before testing; document authorised test scope,1,4,4,Low,Security Manager,Open
R-007,OPNsense / Network Management Interface,Management Interface,Compromise of an administrator account could allow an attacker to alter firewall or network settings and compromise connected systems.,Credential compromise,Single-factor administrator authentication,Management interface not exposed directly to the internet,Critical – Integrity / Availability,3,5,15,Critical,Mitigate,MFA where supported; unique administrator accounts; disable unused accounts; strong password policy,2,5,10,High,Security Manager,Open
R-008,Virtual Machine Backups / Snapshots,Backup,"Failure to maintain reliable backups could result in permanent loss of systems or data following hardware failure, ransomware or configuration error.",Hardware failure / ransomware / human error,Insufficient or untested backups,VM snapshots where used,High – Availability,3,5,15,Critical,Mitigate,3-2-1 backup approach; offline or separate backup copy; scheduled restore testing,2,5,10,High,Infrastructure Manager,Open
R-009,VLAN 30 Playground Network,Network,Insufficient isolation of the playground VLAN could allow a compromised test system to access trusted network resources.,Lateral movement,Inadequate inter-VLAN restrictions,VLAN segmentation; OPNsense firewall rules,High – Confidentiality / Integrity,2,5,10,High,Mitigate,Explicit deny rules between playground and trusted networks; periodic segmentation testing,1,5,5,Medium,Network Manager,Open
R-010,Security and System Documentation,Information,Outdated network and system documentation could lead to incorrect security decisions and increase recovery time during an incident.,Human error / configuration change,Documentation not maintained,Network diagram and project documentation,Medium – Integrity / Availability,3,3,9,Medium,Mitigate,Version-controlled documentation; review after significant changes; documented asset ownership,2,3,6,Medium,GRC Manager,Open
